week,slot,id
1,Mon,part-01
1,Week,week-01
2,Week,week-02
3,Week,week-03
4,Week,week-04
5,Week,week-05
6,Week,week-06
7,Week,week-07
8,Week,week-08
9,Week,week-09
10,Week,week-10
11,Week,week-11
12,Week,week-12
13,Week,week-13
14,Week,week-14
1,Tue,lecture-01
1,Thu,lecture-02
2,Tue,lecture-03
2,Thu,lecture-04
3,Tue,lecture-05
3,Thu,lecture-06
4,Thu,lecture-07
5,Tue,lecture-08
5,Thu,lecture-09
6,Tue,lecture-10
6,Thu,lecture-11
7,Tue,lecture-12
7,Thu,lecture-13
8,Tue,lecture-14
8,Thu,lecture-15
9,Tue,lecture-16
9,Thu,lecture-17
10,Tue,lecture-18
10,Thu,lecture-19
11,Tue,lecture-20
11,Thu,lecture-21
12,Tue,lecture-22
12,Thu,lecture-23
13,Tue,lecture-24
13,Thu,lecture-25
1,First,discussion-01
2,First,discussion-02
3,First,discussion-03
4,First,discussion-04
5,First,discussion-05
6,First,discussion-06
7,First,discussion-07
8,First,discussion-08
9,First,discussion-09
10,First,discussion-10
11,First,discussion-11
12,First,discussion-12
13,First,discussion-13
1,Sun,potw-01
2,Sun,potw-02
3,Sun,potw-03
4,Sun,potw-04
5,Sun,potw-05
6,Sun,potw-06
7,Sun,potw-07
8,Sun,potw-08
9,Sun,potw-09
10,Sun,potw-10
11,Sun,potw-11
12,Sun,potw-12
13,Sun,potw-13
2,Sun,exam-00
4,Sun,exam-01
6,Sun,exam-02
